TBX3	GATA5	ZNF394	CDH17	XRCC2	CD93	OSR2	CREB5	CD19	RAD51
0.52847	0.10429	0.25731	0.37795	0.14843	0.23496	0.1492	0.79283	0.75967	0.71335
0.51109	0.14823	0.21962	0.34946	0.12358	0.42135	0.11585	0.67404	0.71454	0.73747
0.4883	0.11534	0.3025	0.42115	0.23657	0.45177	0.13502	0.64848	0.71768	0.68723
0.64336	0.11813	0.32459	0.45137	0.24875	0.30757	0.60423	0.70926	0.67282	0.6264
0.61718	0.1228	0.30602	0.63887	0.14479	0.38234	0.65193	0.8569	0.83283	0.6103
0.80244	0.080487	0.39873	0.61343	0.15442	0.34155	0.67911	0.72225	0.69305	0.61091
0.78045	0.087122	0.35949	0.68015	0.15784	0.34023	0.50998	0.70693	0.64553	0.72327
0.82903	0.099634	0.44073	0.66144	0.0912	0.30145	0.53125	0.63745	0.68982	0.59494
0.74904	0.098846	0.33698	0.62259	0.10137	0.35632	0.39788	0.60096	0.74401	0.79236
0.58873	0.048235	0.43878	0.75996	0.1362	0.34679	0.38928	0.6715	0.65335	0.74939
0.66941	0.10781	0.32289	0.57649	0.1684	0.31055	0.42224	0.70857	0.64213	0.69387
0.71642	0.081918	0.2685	0.79643	0.11809	0.29607	0.50924	0.71211	0.64548	0.66123
0.80321	0.11986	0.31465	0.63529	0.18037	0.24323	0.53765	0.67635	0.62531	0.57169
0.70255	0.096541	0.49553	0.629	0.13941	0.27773	0.58524	0.69873	0.71898	0.6317
0.26701	0.0066399	0.41201	0.6331	0.16013	0.31609	0.38799	0.31254	0.84054	0.75259
0.14956	0.0002031	0.31627	0.63881	0.35275	0.41215	0.53719	0.22071	0.78473	0.63081
0.12586	7.26e-05	0.34445	0.53329	0.58289	0.45617	0.58546	0.16416	0.68648	0.66034
0.15037	0.0007181	0.36012	0.48702	0.6474	0.51605	0.47156	0.11388	0.75149	0.72205
0.11473	0.0010901	0.25149	0.38166	0.5962	0.58494	0.56169	0.087584	0.7451	0.92153
0.11369	0.0006993	0.41302	0.4028	0.72061	0.69623	0.58289	0.10476	0.73465	0.612
0.10749	0.0006402	0.51445	0.45555	0.61109	0.61881	0.56996	0.14947	0.7261	0.70346
0.091622	2.16e-05	0.30464	0.41845	0.70494	0.63408	0.57052	0.13454	0.70727	0.70371
0.070437	0.0001071	0.43818	0.43982	0.60329	0.48937	0.51824	0.14454	0.72453	0.69008
0.10845	2.43e-05	0.42471	0.40814	0.60654	0.59122	0.52549	0.1195	0.77966	0.72141
0.49343	0.16698	0.3494	0.46664	0.62206	0.56624	0.48371	0.54612	0.78793	0.73445
0.64855	0.13968	0.29051	0.56599	0.31161	0.47398	0.58694	0.65026	0.65499	0.64502
0.79717	0.078682	0.4188	0.57869	0.30524	0.32146	0.5317	0.71054	0.64328	0.71396
0.58339	0.078034	0.43507	0.60228	0.15866	0.33223	0.45606	0.6788	0.61506	0.76263
0.76447	0.11236	0.31514	0.68651	0.14466	0.37893	0.36008	0.64226	0.75993	0.79577
0.7656	0.1891	0.31213	0.65899	0.10154	0.34037	0.54599	0.86197	0.80748	0.75994
0.61115	0.10773	0.46336	0.69102	0.2198	0.39565	0.47683	0.62861	0.61907	0.6722
0.67212	0.11187	0.31302	0.64043	0.14834	0.33032	0.43677	0.75525	0.71217	0.65235
0.62891	0.11641	0.33309	0.61133	0.11288	0.38117	0.4847	0.79762	0.71351	0.7853
0.77123	0.087968	0.35908	0.66873	0.14066	0.37008	0.52588	0.76042	0.7878	0.6291
0.72915	0.1647	0.53932	0.70874	0.1237	0.24328	0.39703	0.75992	0.62859	0.60766
0.51093	0.18037	0.38945	0.68741	0.10125	0.40889	0.14688	0.35281	0.41694	0.76571
0.60974	0.18755	0.25658	0.59801	0.14866	0.42523	0.026412	0.35655	0.40867	0.81566
0.70594	0.20706	0.16964	0.47583	0.14712	0.47334	0.025965	0.28198	0.35582	0.70424
0.77915	0.26954	0.24475	0.38546	0.14094	0.55523	0.0067659	0.18625	0.4059	0.6916
0.75122	0.31822	0.17122	0.44923	0.098587	0.42747	0.0094517	0.25389	0.35658	0.72264
0.66628	0.23002	0.20818	0.39203	0.1501	0.52815	0.0019713	0.24507	0.27894	0.80154
0.64464	0.2565	0.29215	0.39377	0.12852	0.57603	0.011426	0.17467	0.28057	0.70416
0.73092	0.27675	0.19895	0.57951	0.11673	0.51957	0.013856	0.25483	0.37758	0.74381
0.72415	0.23847	0.22916	0.38937	0.14965	0.46167	0.0025197	0.19161	0.34532	0.71576
0.68617	0.25575	0.23981	0.28956	0.11092	0.49984	0.007007	0.196	0.30969	0.61446
0.66409	0.18975	0.2068	0.44754	0.10826	0.40447	0.56687	0.64267	0.62148	0.57147
0.6375	0.15238	0.3196	0.56633	0.10104	0.48604	0.59779	0.72315	0.64099	0.69668
0.7157	0.13389	0.40686	0.6595	0.10132	0.46143	0.69505	0.7188	0.65585	0.7758
0.63674	0.1459	0.43252	0.66905	0.14629	0.35613	0.5087	0.63821	0.74916	0.73294
0.68613	0.14716	0.43427	0.57267	0.14602	0.34735	0.46677	0.67006	0.77904	0.73938
0.74402	0.12385	0.43849	0.74329	0.12949	0.27656	0.54466	0.75852	0.6397	0.66842
0.89671	0.066247	0.42685	0.56787	0.099971	0.34473	0.46504	0.7024	0.63892	0.69758
0.75644	0.066462	0.41274	0.68865	0.12453	0.38973	0.47989	0.69577	0.79709	0.65992
0.6793	0.071548	0.37281	0.51882	0.09478	0.26509	0.4786	0.7807	0.58068	0.79134
0.60206	0.093032	0.35851	0.80282	0.12394	0.35401	0.39515	0.78497	0.73044	0.68634
0.71472	0.078901	0.42156	0.63013	0.085034	0.3092	0.45162	0.69517	0.83627	0.64398
0.63386	0.11351	0.2933	0.64946	0.044212	0.35141	0.22773	0.78337	0.3862	0.66602
0.62478	0.080725	0.32354	0.59062	0.026979	0.30536	0.16339	0.81136	0.19979	0.68635
0.71964	0.056195	0.34693	0.48367	0.027325	0.30564	0.17463	0.83132	0.19241	0.71709
0.70942	0.072332	0.41307	0.60422	0.046969	0.35379	0.1831	0.64198	0.052954	0.52362
0.67112	0.057326	0.29229	0.34729	0.025049	0.30081	0.15755	0.7445	0.11372	0.29111
0.59627	0.13841	0.24276	0.3765	0.033317	0.30988	0.2136	0.81124	0.037775	0.21175
0.68054	0.11976	0.19984	0.46286	0.049419	0.34329	0.19747	0.74832	0.089764	0.1265
0.73715	0.12292	0.24001	0.41179	0.028472	0.28917	0.22315	0.72712	0.067984	0.099899
0.68193	0.089656	0.24284	0.36398	0.032137	0.31122	0.1699	0.72002	0.069939	0.13748
0.71046	0.099547	0.26361	0.46904	0.021169	0.37855	0.1878	0.54568	0.082181	0.10076
0.768	0.13565	0.12168	0.36535	0.08609	0.26403	0.57045	0.65086	0.50453	0.14223
0.80133	0.069747	0.12847	0.39604	0.094127	0.34457	0.61649	0.82553	0.64861	0.59942
0.59066	0.11931	0.3662	0.5869	0.13535	0.34587	0.56178	0.71394	0.72149	0.80225
0.75132	0.11888	0.3591	0.67187	0.089026	0.31664	0.65093	0.63907	0.6535	0.66466
0.76094	0.056241	0.48233	0.77494	0.090934	0.30072	0.66557	0.62152	0.74008	0.67337
0.71045	0.12506	0.34421	0.67087	0.078957	0.32508	0.33287	0.5702	0.57665	0.64518
0.67858	0.141	0.23091	0.81459	0.1247	0.4498	0.41025	0.58181	0.72788	0.67458
0.56031	0.13884	0.24338	0.76417	0.10915	0.2466	0.51124	0.64677	0.81392	0.71953
0.609	0.09411	0.30785	0.67079	0.14016	0.2455	0.58267	0.57984	0.7055	0.67859
0.64678	0.11538	0.39315	0.76899	0.156	0.39585	0.68635	0.74542	0.63727	0.74057
